,Date,Month,Year,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,DiffLP,FTR(S),FTR,Bookie,Target
65,28/09/2002,September,2002,Everton,Fulham,2,0,2.25,3.25,2.75,2.4,3,2.6,2.25,3.2,2.75,2.5,3.1,2.5,0,0,0,0,0,0,0,0,2,H,1,1,0
66,28/09/2002,September,2002,Leeds,Arsenal,1,4,3,3.25,2.1,2.9,3,2.2,2.8,3.2,2.2,3.2,3.2,2,0,0,0,0,0,0,0,0,4,NH,0,0,0
67,28/09/2002,September,2002,Man City,Liverpool,0,3,2.8,3.25,2.2,2.9,3,2.2,3,3.4,2,3,3.2,2.1,0,0,0,0,0,0,0,0,16,NH,0,0,0
68,28/09/2002,September,2002,Sunderland,Aston Villa,1,0,2.375,3,2.75,2.3,3,2.7,2.38,3.2,2.6,2.4,3.1,2.6,0,0,0,0,0,0,0,0,9,H,1,1,0
69,30/09/2002,September,2002,West Brom,Blackburn,0,2,2.6,3.2,2.4,2.5,3,2.5,2.6,3.2,2.38,2.6,3.1,2.4,0,0,0,0,0,0,0,0,8,NH,0,0,0
70,05/10/2002,October,2002,Newcastle,West Brom,2,1,1.4,3.75,7.5,1.45,3.8,5.4,1.4,3.75,7,1.36,3.75,8,0,0,0,0,0,0,0,0,-14,H,1,1,0
71,05/10/2002,October,2002,Southampton,Man City,2,0,2.3,3.2,2.7,2.3,3,2.7,2.2,3.25,2.75,2.37,3.1,2.62,0,0,0,0,0,0,0,0,-7,H,1,1,0
72,05/10/2002,October,2002,West Ham,Birmingham,1,2,1.727,3.25,4.333,1.65,3.3,4.4,1.67,3.4,4.33,1.72,3.25,4.2,0,0,0,0,0,0,0,0,-11,NH,0,1,1
73,06/10/2002,October,2002,Arsenal,Sunderland,3,1,1.167,5.5,13,1.2,5,10,1.17,5.5,12,1.14,6,12,0,0,0,0,0,0,0,0,-16,H,1,1,0
74,06/10/2002,October,2002,Aston Villa,Leeds,0,0,2.6,3.2,2.4,2.5,3,2.5,2.75,3,2.38,2.6,3.1,2.4,0,0,0,0,0,0,0,0,3,NH,0,0,0
75,06/10/2002,October,2002,Blackburn,Tottenham,1,2,2.1,3.25,3,2.1,3,3.1,2,3.2,3.2,2.1,3.2,3,0,0,0,0,0,0,0,0,1,NH,0,1,1
76,06/10/2002,October,2002,Fulham,Charlton,1,0,1.667,3.4,4.5,1.8,3.1,3.8,1.73,3.2,4.33,1.72,3.2,4.33,0,0,0,0,0,0,0,0,-1,H,1,1,0
77,06/10/2002,October,2002,Liverpool,Chelsea,1,0,1.727,3.25,4.333,1.75,3.2,4,1.73,3.2,4.33,1.83,3.2,3.75,0,0,0,0,0,0,0,0,-4,H,1,1,0
78,07/10/2002,October,2002,Man United,Everton,3,0,1.3,4.5,8,1.25,4.5,9,1.29,4.33,9,1.28,4.5,8,0,0,0,0,0,0,0,0,-12,H,1,1,0
79,19/10/2002,October,2002,Blackburn,Newcastle,5,2,2.3,3.2,2.7,2.2,3,2.9,2.4,3.25,2.5,2.3,3.1,2.75,0,0,0,0,0,0,0,0,6,H,1,1,0
80,19/10/2002,October,2002,Everton,Arsenal,2,1,5.5,3.5,1.533,4.4,3.3,1.65,5,3.5,1.57,5.5,3.3,1.57,0,0,0,0,0,0,0,0,14,H,1,0,1
81,19/10/2002,October,2002,Fulham,Man United,1,1,4.333,3.25,1.727,3.8,3.1,1.8,4,3.2,1.8,3.8,3.25,1.8,0,0,0,0,0,0,0,0,10,NH,0,0,0
82,19/10/2002,October,2002,Leeds,Liverpool,0,1,2.75,3,2.375,2.6,3.1,2.3,2.6,3.2,2.38,2.87,3.1,2.2,0,0,0,0,0,0,0,0,3,NH,0,0,0
83,19/10/2002,October,2002,Man City,Chelsea,0,3,2.6,3.2,2.4,2.5,3,2.5,2.6,3.2,2.38,2.62,3.1,2.37,0,0,0,0,0,0,0,0,12,NH,0,0,0
84,19/10/2002,October,2002,Sunderland,West Ham,0,1,2,3.25,3.25,1.9,3.1,3.5,2.1,3.2,3,2.2,3.1,2.87,0,0,1,0,0,0,0,0,10,NH,0,1,1
85,19/10/2002,October,2002,West Brom,Birmingham,1,1,2.375,3,2.75,2.3,3,2.7,2.25,3.2,2.75,2.25,3.2,2.75,0,0,0,0,0,0,0,0,0,NH,0,1,1
86,20/10/2002,October,2002,Tottenham,Bolton,3,1,1.533,3.5,5.5,1.6,3.4,4.6,1.5,3.4,6,1.57,3.3,5.5,0,0,0,0,0,0,0,0,-7,H,1,1,0
87,21/10/2002,October,2002,Aston Villa,Southampton,0,1,1.727,3.25,4.333,1.85,3.1,3.6,1.8,3.2,4,1.8,3.1,4,0,0,0,0,0,0,0,0,-3,NH,0,1,1
88,23/10/2002,October,2002,Fulham,West Ham,0,1,1.8,3.25,4,1.9,3.1,3.5,1.8,3.25,3.75,1.8,3.1,4,0,0,0,0,0,0,0,0,6,NH,0,1,1
89,26/10/2002,October,2002,Arsenal,Blackburn,1,2,1.3,4.5,8,1.45,3.8,5.4,1.29,4.5,8,1.28,4.5,8,1,1,0,0,0,0,0,0,-9,NH,0,1,1
90,26/10/2002,October,2002,Birmingham,Man City,0,2,2.1,3.25,3,2.2,3,2.9,2,3.4,3,2.1,3.2,3,0,0,0,0,0,0,0,0,0,NH,0,1,1
91,26/10/2002,October,2002,Chelsea,West Brom,2,0,1.4,3.75,7.5,1.4,3.9,6,1.4,3.75,7,1.33,4,8,0,0,0,0,0,0,0,0,-12,H,1,1,0
92,26/10/2002,October,2002,Liverpool,Tottenham,2,1,1.533,3.5,5.5,1.5,3.7,5,1.5,3.4,6,1.5,3.4,6,1,1,0,0,0,0,0,0,-7,H,1,1,0
93,26/10/2002,October,2002,Man United,Aston Villa,1,1,1.3,4.5,8,1.3,4.2,8,1.25,4.5,10,1.3,4.33,8,0,0,0,0,0,0,0,0,-5,NH,0,1,1
94,26/10/2002,October,2002,Newcastle,Charlton,2,1,1.533,3.5,5.5,1.55,3.5,4.8,1.53,3.5,5.5,1.5,3.4,6,1,0,0,0,0,0,0,0,-10,H,1,1,0
95,27/10/2002,October,2002,Southampton,Fulham,4,2,2.375,3.2,2.625,2.2,3,2.9,2.25,3.2,2.75,2.3,3.1,2.75,0,0,0,0,0,0,0,0,-2,H,1,1,0
96,27/10/2002,October,2002,West Ham,Everton,0,1,2,3.25,3.25,1.85,3.1,3.6,1.91,3.25,3.4,2.1,3.2,3,0,0,0,0,0,0,0,0,-8,NH,0,1,1
97,28/10/2002,October,2002,Bolton,Sunderland,1,1,2.1,3.25,3,2.1,3,3.1,2.1,3.2,3,2.2,3.1,2.87,0,0,0,0,0,0,0,0,-1,NH,0,1,1
98,02/11/2002,November,2002,Birmingham,Bolton,3,1,1.909,3.25,3.5,2.1,3,3.1,1.91,3.25,3.4,2,3.2,3.2,0,0,0,0,0,0,0,0,2,H,1,1,0
99,02/11/2002,November,2002,Liverpool,West Ham,2,0,1.333,4.333,7.5,1.45,3.8,5.4,1.36,3.75,8,1.33,4,8,1,1,0,0,0,0,0,0,-5,H,1,1,0
100,02/11/2002,November,2002,Man United,Southampton,2,1,1.333,4.333,7.5,1.3,4.2,8,1.33,4,8,1.33,4,8,1,0,0,0,0,0,0,0,-8,H,1,1,0
101,02/11/2002,November,2002,West Brom,Man City,1,2,2.4,3.2,2.6,2.4,3,2.6,2.4,3.25,2.5,2.5,3.1,2.5,0,0,1,0,0,0,0,0,0,NH,0,1,1
102,03/11/2002,November,2002,Blackburn,Aston Villa,0,0,1.727,3.25,4.333,1.8,3.1,3.8,1.73,3.2,4.33,1.66,3.3,4.5,0,0,0,0,0,0,0,0,2,NH,0,1,1
103,03/11/2002,November,2002,Charlton,Sunderland,1,1,1.909,3.25,3.5,2.1,3,3.1,1.91,3.25,3.4,2,3.2,3.2,0,0,0,0,0,0,0,0,-3,NH,0,1,1
104,03/11/2002,November,2002,Fulham,Arsenal,0,1,4.5,3.4,1.667,4,3.3,1.7,4,3.4,1.73,3.75,3.3,1.8,0,0,0,0,1,0,0,0,12,NH,0,0,0
105,03/11/2002,November,2002,Leeds,Everton,0,1,1.727,3.25,4.333,1.7,3.2,4.2,1.73,3.2,4.33,1.8,3.3,3.75,0,0,0,0,0,0,0,0,-10,NH,0,1,1
106,03/11/2002,November,2002,Tottenham,Chelsea,0,0,2.3,3.2,2.7,2.5,3,2.5,2.2,3.25,2.75,2.37,3.1,2.62,0,0,0,0,0,0,0,0,3,NH,0,1,1
107,09/11/2002,November,2002,Arsenal,Newcastle,1,0,1.5,3.5,6,1.55,3.5,4.8,1.44,3.6,6.5,1.44,3.6,6.5,1,0,0,0,0,0,0,0,-3,H,1,1,0
108,09/11/2002,November,2002,Aston Villa,Fulham,3,1,2.2,3.25,2.8,2,3.1,3.2,2,3.2,3.2,2.1,3.1,3.1,0,0,0,0,0,0,0,0,-5,H,1,1,0
109,09/11/2002,November,2002,Bolton,West Brom,1,1,2,3.25,3.25,1.9,3.1,3.5,2.1,3,3.2,1.9,3.2,3.5,0,0,0,0,0,0,0,0,-2,NH,0,1,1
110,09/11/2002,November,2002,Chelsea,Birmingham,3,0,1.444,3.75,6.5,1.45,3.8,5.4,1.4,3.75,7,1.44,3.6,6.5,0,0,0,0,0,0,0,0,-12,H,1,1,0
111,09/11/2002,November,2002,Everton,Charlton,1,0,1.667,3.4,4.5,1.8,3.1,3.8,1.57,3.5,5,1.66,3.3,4.5,0,0,0,0,0,0,0,0,1,H,1,1,0
112,09/11/2002,November,2002,Man City,Man United,3,1,3.5,3.25,1.909,3.6,3.1,1.85,3.75,3.2,1.83,3.75,3.2,1.83,0,0,1,0,0,0,0,0,15,H,1,0,1
113,09/11/2002,November,2002,Southampton,Blackburn,1,1,2.25,3.25,2.75,2.3,3,2.7,2.25,3.2,2.75,2.3,3.1,2.7,0,0,0,0,0,0,0,0,1,NH,0,1,1
114,10/11/2002,November,2002,Sunderland,Tottenham,2,0,2.7,3.2,2.3,2.4,3,2.6,2.8,3.2,2.2,2.8,3.1,2.25,0,0,0,0,0,0,0,0,8,H,1,0,1
115,10/11/2002,November,2002,West Ham,Leeds,3,4,2.375,3.2,2.625,2.3,3,2.7,2.4,3.25,2.5,2.5,3.1,2.5,0,0,0,0,0,0,0,0,2,NH,0,1,1
116,16/11/2002,November,2002,Arsenal,Tottenham,3,0,1.533,3.5,5.5,1.6,3.4,4.6,1.57,3.5,5,1.53,3.25,6,0,0,0,0,0,0,0,0,-8,H,1,1,0
117,16/11/2002,November,2002,Man City,Charlton,0,1,1.667,3.4,4.5,1.8,3.1,3.8,1.73,3.2,4.33,1.61,3.3,5,0,0,0,0,0,0,0,0,4,NH,0,1,1
118,16/11/2002,November,2002,Newcastle,Southampton,2,1,1.615,3.4,5,1.55,3.5,4.8,1.62,3.25,5,1.57,3.5,5,0,0,0,0,1,0,0,0,-7,H,1,1,0
119,16/11/2002,November,2002,West Brom,Aston Villa,0,0,2.625,3,2.5,2.7,3,2.3,2.75,3,2.38,2.62,2.9,2.5,0,0,0,0,0,0,0,0,10,NH,0,0,0
120,17/11/2002,November,2002,Birmingham,Fulham,0,0,2.3,3.2,2.7,2.2,3,2.9,2.2,3.25,2.75,2.25,3.1,2.8,0,0,0,0,0,0,0,0,5,NH,0,1,1
121,17/11/2002,November,2002,Blackburn,Everton,0,1,2.1,3.25,3,1.9,3.1,3.5,2.1,3.2,3,2.1,3.2,3,0,0,0,0,0,0,0,0,-5,NH,0,1,1
122,17/11/2002,November,2002,Leeds,Bolton,2,4,1.5,3.5,6,1.5,3.7,5,1.57,3.5,5,1.57,3.3,5.5,0,0,0,0,0,0,0,0,-11,NH,0,1,1
123,17/11/2002,November,2002,Liverpool,Sunderland,0,0,1.364,4,7.5,1.4,3.9,6,1.33,4,8,1.33,4,8,1,0,0,0,0,0,0,0,-15,NH,0,1,1
124,17/11/2002,November,2002,West Ham,Man United,1,1,4,3.25,1.8,3.8,3.1,1.8,4.33,3.4,1.67,4.33,3.2,1.72,0,0,0,0,0,0,0,0,4,NH,0,0,0
125,23/11/2002,November,2002,Aston Villa,West Ham,4,1,1.8,3.25,4,1.9,3.1,3.5,1.8,3.2,4,1.83,3.2,3.75,0,0,0,0,0,0,0,0,1,H,1,1,0
126,23/11/2002,November,2002,Bolton,Chelsea,1,1,3.5,3.25,1.909,2.9,3,2.2,3.75,3.2,1.83,3.4,3.25,1.9,0,0,0,0,0,0,0,0,10,NH,0,0,0
127,23/11/2002,November,2002,Everton,West Brom,1,0,1.444,3.6,7,1.6,3.4,4.6,1.5,3.4,6,1.44,3.5,7,1,1,0,0,0,0,0,0,-3,H,1,1,0
128,23/11/2002,November,2002,Fulham,Liverpool,3,2,3.75,3.25,1.833,3.5,3.1,1.9,3.75,3.2,1.83,3.5,3.2,1.9,0,0,1,0,1,0,0,0,11,H,1,0,1
129,23/11/2002,November,2002,Man United,Newcastle,5,3,1.615,3.4,5,1.6,3.4,4.6,1.62,3.25,5,1.66,3.3,4.5,0,0,0,0,0,0,0,0,-1,H,1,1,0
130,23/11/2002,November,2002,Southampton,Arsenal,3,2,4.333,3.25,1.727,3.8,3.1,1.8,4.33,3.4,1.67,4.5,3.3,1.66,0,0,0,0,0,0,0,0,10,H,1,0,1
131,23/11/2002,November,2002,Sunderland,Birmingham,0,1,1.909,3.25,3.5,1.85,3.1,3.6,1.83,3.2,3.75,1.9,3.2,3.5,0,0,0,0,0,0,0,0,-1,NH,0,1,1
132,24/11/2002,November,2002,Charlton,Blackburn,3,1,2.4,3.2,2.6,2.3,3,2.7,2.4,3.25,2.5,2.37,3.1,2.62,0,0,0,0,0,0,0,0,4,H,1,1,0
